"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Denmark","DNK","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.08","50.2","50.52","51.86","50.45","45.8","40.86","38.73","34.08","30.01","27.79","24.69","24.05","20.71","20.85","20","18.66","",
"Dominican Republic","DOM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.05","10.02","10","10.01","10.13","10.29","10.32","10.75","10.57","11.75","11.66","12.67","12.7","12.77","12.56","12.33","11.71","",
"Algeria","DZA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.72","4.95","5.06","5.24","5.17","5.06","5.18","5.23","5.22","5.21","5.26","5.25","5.22","5.22","5.24","5.26","",
"East Asia & Pacific (excluding high income)","EAP","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.75","8","5.72","5.97","3.26","3.96","4.12","4.28","6.125","6.325","6.875","7.325","8.025","8.165","8.36","8.58","8.97","",
"Early-demographic dividend","EAR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.665","6.65","6.95","7.34","7.625","8.05","8.36","8.53","8.96","9.68","10.16","9.885","10.205","10.44","10.22","9.665","10.065","",
"East Asia & Pacific","EAS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.04","12.62","10.89","10.45","9.98","9.87","9.83","11.25","10.285","10.04","9.91","9.82","9.64","9.61","9.63","9.64","10.59","",
"Europe & Central Asia (excluding high income)","ECA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","12.62","14.025","17.825","22.655","22.13","22.285","23.38","23.48","22.64","22.39","22.71","23.11","23.14","23.61","24.11","23.11","",
"Europe & Central Asia","ECS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.33","25.605","27.025","27.52","27.79","26.46","26.29","24.16","24.62","24.76","24.54","24.185","24.05","22.86","22.435","23.54","22.56","",
"Ecuador","ECU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.44","10.56","11","11.86","11.95","11.92","12.27","12.65","12.91","11.96","11.57","11.51","10.96","9.68","9.49","9.74","","",
"Egypt, Arab Rep.","EGY","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.81","3.92","4.21","4.46","4.58","4.61","4.62","4.57","4.56","4.56","4.61","4.74","4.88","4.99","6.64","6.76","",
